,train_loss,eval_loss
0,32.923282877604166,30.71889134457237
1,32.600946044921876,30.32874820106908
2,32.149428304036455,29.83607884457237
3,31.68887736002604,29.59959010074013
4,31.315061442057292,28.826711554276315
5,30.466550699869792,27.860325863486842
6,29.55893351236979,27.11247494346217
7,28.305533854166665,26.142804597553454
8,27.18490193684896,24.954180265727796
9,26.242826334635417,24.14876998098273
10,25.355440266927083,22.948245399876644
11,23.645845540364583,21.494685122841283
12,21.905318196614584,20.663699501439144
13,21.35042928059896,18.918013723273027
14,19.60196533203125,18.15891466642681
15,17.911588541666667,16.96847212942023
16,16.513381958007812,15.691788522820724
17,15.155096435546875,13.951263427734375
18,13.78125712076823,12.40694788882607
19,12.081674194335937,11.868318256578947
20,10.604977416992188,11.193021272358141
21,10.427665201822917,9.399114508377878
22,7.827322387695313,8.718773289730674
23,7.109751892089844,6.74774169921875
24,5.824912516276042,6.08310257761102
25,4.8853602091471355,4.779948987458882
26,4.7191309611002605,3.8649850142629525
27,3.6857231140136717,3.1589963812577095
28,3.077411142985026,3.0917133532072367
29,3.068714396158854,2.6385014182642887
30,2.2347694396972657,2.541147934763055
31,2.1815462748209637,2.342398191753187
32,2.920359802246094,2.1712012039987663
33,2.695598602294922,2.7153812207673726
34,3.0206387837727866,1.675810362163343
35,3.358611297607422,2.0431952225534538
36,2.910169982910156,2.557571009585732
37,3.243213907877604,2.0568341706928455
38,2.690832773844401,2.3435909873560856
39,2.427112325032552,2.183101453279194
40,3.2624501546223956,3.368454782586349
41,1.606307601928711,2.7758917557565788
42,1.7626487731933593,3.177065799110814
43,2.3212181091308595,3.374957436009457
44,2.701519775390625,4.4580323068719165
45,4.35379638671875,6.368419044896176
46,5.473639424641927,6.234808670847039
47,6.6083216349283855,7.23351327996505
48,5.354609680175781,6.19896778307463
49,5.511421203613281,6.524194817793997
