NAME,1972.5,1973.5,1974.5,1975.5,1976.5,1977.5,1978.5,1979.5,1980.5,1981.5,1982.5,1983.5,1984.5,1985.5,1986.5,1987.5,1988.5,1989.5,1990.5,1991.5,1992.5,1993.5,1994.5,1995.5,1996.5,1997.5,1998.5,1999.5,2000.5,2001.5,2002.5,2003.5,2004.5,2005.5,2006.5,2007.5,2008.5,2009.5,2010.5,2011.5,2012.5,2013.5,2014.5,2015.5,2016.5,2017.5,2018.5
UKAASORSUAQ,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.4716152,6.6308577,6.6435971,6.6563365,6.6754456,6.688185,6.5162031,5.8473846,5.7709482,6.3697,6.0703241,6.1913484,6.3123727,6.1403908,5.9684089,6.0257362,5.6881421,5.8155361,5.9492998,6.0639544,5.6945118,5.1339782,5.2804813,5.7072512,5.8537543,5.7072512,6.1276514
AVANNARLEQ-NIGERLIKASIK,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.3955,1.4499245,1.5057445,1.560169,1.6145935,1.523886,1.493185,1.4610885,1.5587735,1.6564585,1.6648315,1.373172,1.317352,1.4303875,1.4164325,1.359217,1.401082,1.4443425,1.3913135,1.3689855,1.378754,1.2489725,1.3410755,1.3187475,1.3131655,1.2182715,1.183384,1.1791975,1.214085,1.1596605,1.216876
AVANNARLEQ_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FREDERIKSHABS-NAKKAASORSUAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SERMEQ-KANGAASARSUUP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KANGIATA_NUNAATA_SERMIA,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.976381822,6.969481346,6.962580869,6.846797735,6.724832129,6.602917355,6.481434656,6.36673806,6.39850821,6.423759125,6.455186158,6.479909688,9.306804927,8.370138303,7.445245696,6.868325188,8.250282235,7.488478516,7.385206467,7.017949887,7.370230018,7.145602349,7.444597585,6.812314414,7.023541433,6.190699659,6.725105352,6.372990426,7.373775567
AKULLERSUUP-QAMANAARSUUP,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.2021509,2.1368666,2.0715823,2.006298,1.9410137,1.8757294,1.8056682,1.7340147,1.6639535,1.5923,1.5938923,1.5954846,1.5970769,2.1273128,1.8279604,1.7547146,1.7085379,1.8900601,1.7690453,1.7308301,1.6942072,1.655992,1.6177768,1.5636386,1.5079081,1.4219239,1.3247936
NARSAP_SERMIA,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.881268432,1.879403944,1.879403944,1.879403944,1.879403944,1.877539456,1.877539456,1.875674968,1.875674968,1.87381048,1.871945992,2.066813174,2.25677452,1.31438516,1.521007409,1.726790976,1.575417995,2.155970422,2.011207693,2.000661048,2.790187188,2.905399924,2.60528724,2.653777456,2.845817469,2.657429778,3.304540145,4.270944652,3.548141031,4.34112335,4.141390915,4.483789376,4.98108238,4.308513973
KANGILINNGUATA_SERMIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAQQAP-MAJORQAQ-SOUTHTERRUSSEL_SOUTHQUARUSSEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
