,train_loss,eval_loss
0,3.847455596923828,3.1117461355108964
1,3.8632326761881512,2.94245047318308
2,3.629754130045573,2.636428029913651
3,3.2330858866373697,2.3086915267141244
4,2.8256189982096354,2.064570376747533
5,2.507191467285156,1.7713564822548313
6,2.262798309326172,1.4995255721242804
7,1.9120662689208985,1.257270612214741
8,1.5407444000244142,1.0200124037893195
9,1.1302052815755208,0.6763917019492701
10,0.847967529296875,0.5149878451698705
11,0.6719982782999675,0.4073848473398309
12,0.39297876358032224,0.23488325821725944
13,0.22831344604492188,0.10109753985154002
14,0.11030290126800538,0.04996720740669652
15,0.07343128522237143,0.060089531697725
16,0.09403663476308187,0.05513170518373188
17,0.14499095280965169,0.17097681447079308
18,0.16493647893269855,0.19774923826518812
19,0.22192668914794922,0.19429460324739156
20,0.23005242347717286,0.12964379160027756
21,0.23870054880777994,0.13532381308706184
22,0.15976942380269368,0.17978222746598094
23,0.20071330070495605,0.11239290237426758
24,0.24823374748229982,0.12754477952655993
25,0.07186013062795003,0.07521426677703857
26,0.09029969374338785,0.06343452554000051
27,0.0939423640569051,0.06525119982267681
28,0.05337951183319092,0.09109168303640265
29,0.07922249635060628,0.07756363718133223
30,0.04107116460800171,0.058043059549833596
31,0.131362517674764,0.057799502422935085
32,0.07335038185119629,0.07607167018087287
33,0.05504449208577474,0.06421017646789551
34,0.07458307743072509,0.06342709691900957
35,0.08606272538503011,0.06948813639189068
36,0.08173964818318685,0.06036330524243807
37,0.09080540339152018,0.05843027641898707
38,0.1171416997909546,0.07893101165169164
39,0.06629151105880737,0.12079147288673803
40,0.09265553156534831,0.06205984793211285
41,0.06582830746968588,0.06277425665604441
42,0.10690365632375082,0.06170457287838584
43,0.13389156659444174,0.07163188959422864
44,0.08409156799316406,0.14742770947908101
45,0.1999801476796468,0.14530065185145327
46,0.22010693550109864,0.24419516011288292
47,0.17572189966837565,0.3290970701920359
48,0.3711901028951009,0.47643109371787623
49,0.37838290532430013,0.2792751161675704
